dog breed name:Shih - Tzu, size:Small, slug:shih-tzu
dog breed name:Beagle, size:Small, slug:beagle
dog breed name:Poodle, size:Small, slug:poodle
dog breed name:Pomeranian, size:Small, slug:pomeranian
dog breed name:Chihuahua, size:Small, slug:chihuahua
dog breed name:Jack Russel Terrier, size:Small, slug:jack-russel-terrier
dog breed name:French Bulldog, size:Small, slug:french-bulldog
dog breed name:Pug, size:Small, slug:pug
dog breed name:Miniature Pinscher, size:Small, slug:miniature-pinscher
dog breed name:Dachshund, size:Small, slug:dachshund
dog breed name:Bichon Frise, size:Small, slug:bichon-frise
dog breed name:Maltese, size:Small, slug:maltese
dog breed name:Lhasa Apso, size:Small, slug:lhasa-apso
dog breed name:Yorkshire Terrier, size:Small, slug:yorkshire-terrier
dog breed name:Affenpinscher, size:Small, slug:affenpinscher
dog breed name:Maltipoo, size:Small, slug:maltipoo
dog breed name:Welsh Corgi, size:Small, slug:welsh-corgi
dog breed name:Miniature Schnauzer, size:Small, slug:miniature-schnauzer
dog breed name:Cavalier King Charles Spaniel, size:Small, slug:cavalier-king-charles-spaniel
dog breed name:Indian Spitz, size:Small, slug:indian-spitz
dog breed name:American Eskimo Dog, size:Small, slug:american-eskimo-dog
dog breed name:Cockapoo, size:Small, slug:cockapoo
dog breed name:Shih-Poo, size:Small, slug:shih-poo
dog breed name:Japanese Spitz, size:Small, slug:japanese-spitz
dog breed name:Biewer Terrier, size:Small, slug:biewer-terrier
dog breed name:Scottish Terrier, size:Small, slug:scottish-terrier
dog breed name:Papillon, size:Small, slug:papillon
dog breed name:Patterdale Terrier, size:Small, slug:patterdale-terrier
dog breed name:Norfolk Terrier, size:Small, slug:norfolk-terrier
dog breed name:Norwich Terrier, size:Small, slug:norwich-terrier
dog breed name:Manchester Terrier, size:Small, slug:manchester-terrier
dog breed name:Havanese, size:Small, slug:havanese
dog breed name:Lowchen, size:Small, slug:lowchen
dog breed name:Toy Fox Terrier, size:Small, slug:toy-fox-terrier
dog breed name:Brussels Griffon, size:Small, slug:brussels-griffon
dog breed name:Morkie, size:Small, slug:morkie
dog breed name:Skye Terrier, size:Small, slug:skye-terrier
dog breed name:Portuguese Podengo Pequeno, size:Small, slug:portuguese-podengo-pequeno
dog breed name:Drever, size:Small, slug:drever
dog breed name:Silky Terrier, size:Small, slug:silky-terrier
dog breed name:Cavapoo, size:Small, slug:cavapoo
dog breed name:Schipperke, size:Small, slug:schipperke
dog breed name:Danish-Swedish Farmdog, size:Small, slug:danish-swedish-farmdog
dog breed name:Chinese Crested, size:Small, slug:chinese-crested
dog breed name:Lakeland Terrier, size:Small, slug:lakeland-terrier
dog breed name:Yorkipoo, size:Small, slug:yorkipoo
dog breed name:Chiweenie, size:Small, slug:chiweenie
dog breed name:Lancashire Heeler, size:Small, slug:lancashire-heeler
dog breed name:West Highland White Terrier, size:Small, slug:west-highland-white-terrier
dog breed name:Japanese Chin, size:Small, slug:japanese-chin
dog breed name:Pekingese, size:Small, slug:pekingese
dog breed name:Dandie Dinmont Terrier, size:Small, slug:dandie-dinmont-terrier
dog breed name:Italian Greyhound, size:Small, slug:italian-greyhound
dog breed name:English Toy Spaniel, size:Small, slug:english-toy-spaniel
dog breed name:Russian Toy, size:Small, slug:russian-toy
dog breed name:Cesky Terrier, size:Small, slug:cesky-terrier
dog breed name:Shiba Inu, size:Small, slug:shiba-inu
dog breed name:Siberian Husky, size:Medium, slug:siberian-husky
dog breed name:Boxer, size:Medium, slug:boxer
dog breed name:Belgian Malinois, size:Medium, slug:belgian-malinois
dog breed name:American Bully, size:Medium, slug:american-bully
dog breed name:Chow Chow, size:Medium, slug:chow-chow
dog breed name:American Pit Bull Terrier, size:Medium, slug:american-pit-bull-terrier
dog breed name:Cocker Spaniel, size:Medium, slug:cocker-spaniel
dog breed name:Belgian Shepherd, size:Medium, slug:belgian-shepherd
dog breed name:English Cocker Spaniel, size:Medium, slug:english-cocker-spaniel
dog breed name:Kombai or Combai Dog, size:Medium, slug:kombai-or-combai-dog
dog breed name:Dalmatian, size:Medium, slug:dalmatian
dog breed name:Bulldog, size:Medium, slug:bulldog
dog breed name:Saluki, size:Medium, slug:saluki
dog breed name:Puli, size:Medium, slug:puli
dog breed name:Rajapalayam, size:Medium, slug:rajapalayam
dog breed name:Fox Terrier, size:Medium, slug:fox-terrier
dog breed name:American Cocker Spaniel, size:Medium, slug:american-cocker-spaniel
dog breed name:German Pinscher, size:Medium, slug:german-pinscher
